SL,Station ID,Station,River,Tidal Status,District,Upazila,Latitude,Longitude,First Date,Last Date
168,SW171,Garaganj,Kumar (Jessore),Non-Tidal,Jhenaidah,Shailkupa,23.6683,89.2000,01-01-1959,31-07-2026
169,SW325,Sonaimukhi,Tulshiganga,Non-Tidal,Joypurhat,Akkelpur,24.9654,89.0229,01-04-1982,31-07-2026
170,SW132.5,Joypurhat,Little Jamuna,Non-Tidal,Joypurhat,Joypurhat Sadar,25.1097,88.9968,01-04-1964,31-07-2026
171,SW361,Dighinala,Maine,Non-Tidal,Khagrachhari,Dighinala,23.2529,92.0689,01-01-2023,30-06-2026
172,SW360,Khagrachhari,Chengi,Non-Tidal,Khagrachhari,Khagrachhari Sadar,23.1036,91.9689,01-01-2023,31-07-2026
173,SW116,Manikchari,Halda,Tidal,Khagrachhari,Manikchhari,22.8680,91.8800,01-04-1959,31-03-1984
174,SW84,Ramgarh,Feni,Non-Tidal,Khagrachhari,Ramgarh,23.0003,91.7312,01-04-1965,30-06-2026
175,SW29,Sutarkhali_Forest Office,Bhadra,Tidal,Khulna,Dacope,22.4993,89.4891,01-04-1968,31-07-2026
176,SW243,Chalna,Rupsa-Pasur,Tidal,Khulna,Dacope,22.6003,89.5220,01-04-1931,31-07-2026
177,SW259,Nalianala_Hadda,Sibsa,Tidal,Khulna,Dacope,22.4608,89.4353,01-04-1961,31-07-2026
178,SW28,Dumuria,Bhadra,Tidal,Khulna,Dumuria,22.6468,89.4287,01-04-1969,31-07-2026
179,SW241,Khulna,Rupsa-Pasur,Tidal,Khulna,Khulna Sadar,22.8176,89.5690,01-10-1937,31-07-2026
180,SW165,Kobadak Forest Office,Kobadak,Tidal,Khulna,Koyra,22.2205,89.3107,01-04-1968,31-07-2026
181,SW164,Chandkhali,Kobadak,Tidal,Khulna,Paikgachha,22.4927,89.2567,01-12-1955,31-07-2026
182,SW258,Paikgacha,Sibsa,Tidal,Khulna,Paikgachha,22.5821,89.3043,01-04-1961,31-07-2026
183,SW272.1,Austogram,Surma-Meghna,Tidal,Kishoreganj,Astagram,24.2748,91.0989,01-04-1965,01-08-2097
184,SW74,Dilalpur,Dhanu-Baulai-Ghorautra,Tidal,Kishoreganj,Bajitpur,24.1893,90.9744,19-05-1945,30-06-2026
185,SW273,Bhairab Bazar,Surma-Meghna,Tidal,Kishoreganj,Bhairab,24.0455,90.9911,01-04-1959,31-07-2026
186,SW73,Itna,Dhanu-Baulai-Ghorautra,Tidal,Kishoreganj,Itna,24.5306,91.0891,01-07-1945,30-06-2026
187,SW311.4,Chamraghat,Mogra,Non-Tidal,Kishoreganj,Karimgonj,24.4567,90.9641,01-07-1996,30-06-2026
188,SW81.1,Dakshin Tilai,Dudhkumar,Non-Tidal,Kurigram,Bhurungamari,26.1542,89.6861,18-05-2022,31-07-2026
189,SW81,Pateswari,Dudhkumar,Non-Tidal,Kurigram,Bhurungamari,26.0972,89.7206,01-01-1963,30-06-2026
190,SW45.5,Chilmari,Brahmaputra-Jamuna,Non-Tidal,Kurigram,Chilmari,25.5681,89.6789,01-01-1957,14-07-2026
191,SW77,Kurigram,Dharla,Non-Tidal,Kurigram,Kurigram Sadar,25.8228,89.6647,01-05-1946,30-06-2026
192,SW45,Noonkhawa,Brahmaputra-Jamuna,Non-Tidal,Kurigram,Kurigram Sadar,25.9198,89.7700,20-04-1957,31-07-2026
193,SW327,Boalmari,Nil Jinjiram,Non-Tidal,Kurigram,Raumari,25.6174,89.8670,01-04-1982,30-06-2026
194,SW45A,Hatia (Ulipur),Brahmaputra-Jamuna,Non-Tidal,Kurigram,Ulipur,25.6803,89.6920,19-06-2021,31-07-2026
195,SW205A,Insafnagar,Mathabhanga,Non-Tidal,Kushtia,Daulatpur,24.0483,88.7414,01-04-1965,31-07-2026
196,SW100,Janipur,Gorai-Madhumati-Haringhata-Baleswar,Tidal,Kushtia,Khoksa,23.8025,89.2800,01-04-1959,05-03-1983
197,SW99,Gorai Railway Bridge,Gorai-Madhumati-Haringhata-Baleswar,Non-Tidal,Kushtia,Kumarkhali,23.8861,89.1806,15-04-1946,31-07-2026
198,SW91,Talbaria,Ganges-Padma,Non-Tidal,Kushtia,Mirpur,23.9631,89.0844,08-07-1944,30-06-2026
199,SW239.5,Piarpur,Rahmat Khali Khal,Tidal,Lakshmipur,Lakshmipur Sadar,22.9026,90.8456,01-07-1996,30-06-2026
200,SW239,Lakshmipur,Rahmat Khali Khal,Tidal,Lakshmipur,Lakshmipur Sadar,22.9396,90.8411,01-01-1959,30-06-2026
201,SW240,Bhawaniganj,Rahmat Khali Khal,Tidal,Lakshmipur,Lakshmipur Sadar,22.8792,90.8492,01-01-1959,30-06-2026
202,SW213.5,Ramgati,Vulua,Tidal,Lakshmipur,Ramgati,22.5856,91.0233,01-01-2026,31-07-2026
203,SW291.5L,Doani,Teesta,Non-Tidal,Lalmonirhat,Hatibandha,26.1771,89.0602,01-01-1997,31-07-2026
204,SW293,Kaliganj,Teesta,Non-Tidal,Lalmonirhat,Kaliganj,25.9727,89.1681,18-10-1948,30-06-2026
205,SW76.5,Mogolhat,Dharla,Non-Tidal,Lalmonirhat,Lalmonirhat Sadar,25.9956,89.4608,14-05-2022,31-07-2026
206,SW76,Taluk-Simulbari,Dharla,Non-Tidal,Lalmonirhat,Lalmonirhat Sadar,25.9711,89.4703,01-04-1965,31-07-2026
207,SW75,Patgram,Dharla,Non-Tidal,Lalmonirhat,Patgram,26.3417,89.0256,11-06-1960,31-07-2026
208,SW5,Madaripur,Arial Khan,Tidal,Madaripur,Madaripur Sadar,23.1711,90.1992,01-08-1957,31-07-2026
209,SW190,Mostafapur,Lower Kumar,Tidal,Madaripur,Rajori,23.1617,90.1370,01-04-1962,31-07-2026
210,SW193,Kabirajpur,Madaripur Beel Route,Tidal,Madaripur,Rajori,23.2707,90.0808,01-01-1942,31-07-2026
211,SW216,Magura,Nabaganga,Non-Tidal,Magura,Magura Sadar,23.4946,89.4235,01-01-1952,31-07-2026
212,SW21,Arpara,Begabati,Tidal,Magura,Magura Sadar,23.3768,89.3728,01-04-1964,31-07-2026
213,SW216A,Magura_Diversion,Nabaganga,Non-Tidal,Magura,Magura Sadar,23.4875,89.4235,01-04-1965,31-07-2026
214,SW137A,Taraghat,Kaliganga-Bethua,Non-Tidal,Manikganj,Ghior,23.8582,89.9560,01-04-1964,31-07-2026
215,SW92.3L,Kadamtola,Ganges-Padma,Tidal,Manikganj,Harirampur,23.7397,89.8900,01-04-1964,31-03-1979
216,SW91.9L,Baruria Transit,Ganges-Padma,Non-Tidal,Manikganj,Harirampur,23.7843,89.8139,01-04-1965,31-07-2026
217,SW68.5,Jagir_Dhaleswari,Dhaleswari,Non-Tidal,Manikganj,Manikganj Sadar,23.8792,90.0251,01-04-1964,30-06-2026
218,SW68,Tilli,Dhaleswari,Non-Tidal,Manikganj,Saturia,23.9411,89.9622,01-06-1949,31-07-2026
219,SW50.6,Aricha,Brahmaputra-Jamuna,Non-Tidal,Manikganj,Shivalaya,23.8366,89.7798,01-04-1964,30-06-2026
220,SW32,Kathuli,Bhairab (upper),Non-Tidal,Meherpur,Gangni,23.8612,88.6487,11-08-1960,31-07-2026
