bwdb_serial,river_name_en,bwdb_zone,border_river,flow_type,source
246,Kurum,NW,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
248,Labundha,NC,No,PERENNIAL,https://en.bwdb.gov.bd/rivers-information
249,Lahar,SE,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
250,Langa,NW,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
251,Langan Balvadra,SE,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
252,Langla,NE,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
253,Lauranjani,NE,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
254,Line,NE,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
255,Lohalia,NE,No,PERENNIAL,https://en.bwdb.gov.bd/rivers-information
256,Lona,NW,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
257,Lowhojong,NC,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
258,Luva,NE,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
259,Madargang,NE,No,PERENNIAL,https://en.bwdb.gov.bd/rivers-information
260,Madaripur Billroot,NE,No,PERENNIAL,https://en.bwdb.gov.bd/rivers-information
261,Madhumati,NE,No,PERENNIAL,https://en.bwdb.gov.bd/rivers-information
262,Magra,NE,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
263,Mahananda Lower (Nawabganj),NW,No,PERENNIAL,https://en.bwdb.gov.bd/rivers-information
264,Mahananda Upper (Panchagarh),NW,Yes,SEASONAL,https://en.bwdb.gov.bd/rivers-information
265,Maharashi,NE,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
266,Mahari,NC,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
267,Mahashing,NE,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
268,Maila,NW,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
269,Malancha,NW,No,PERENNIAL,https://en.bwdb.gov.bd/rivers-information
270,Maldah,NW,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
271,Malijee,NE,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
272,Manosh,NW,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
274,Mara Jinjiram,NC,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
275,Mara Surma,NC,No,PERENNIAL,https://en.bwdb.gov.bd/rivers-information
276,Marirchap-Labongabati,SW,No,PERENNIAL,https://en.bwdb.gov.bd/rivers-information
278,Mathabhaga,SW,Yes,SEASONAL,https://en.bwdb.gov.bd/rivers-information
279,Meghna (lower),SW,No,PERENNIAL,https://en.bwdb.gov.bd/rivers-information
280,Meghna (upper),SW,No,PERENNIAL,https://en.bwdb.gov.bd/rivers-information
281,Minee,EH,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
282,Minhaj,SW,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
283,Minikhali,NC,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
284,Mirgee,NE,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
285,Mongla,NE,No,PERENNIAL,https://en.bwdb.gov.bd/rivers-information
